City,day,CO_mean,CO_min,CO_max,CO_std,NO2_mean,NO2_min,NO2_max,NO2_std,SO2_mean,SO2_min,SO2_max,SO2_std,O3_mean,O3_min,O3_max,O3_std,PM2.5_mean,PM2.5_min,PM2.5_max,PM2.5_std,PM10_mean,PM10_min,PM10_max,PM10_std,AQI_mean,AQI_min,AQI_max,AQI_std
New York,2024-10-04,259.625,188.0,497.0,76.75529297709703,34.395833333333336,20.4,48.7,9.116944528526648,8.325000000000001,6.1,14.5,2.494559297141785,32.666666666666664,3.0,73.0,23.425490884683843,13.095833333333333,9.4,22.4,3.1590421177074024,19.783333333333335,14.4,32.5,4.626545961755041,25.874304624999997,24.283333,29.2,1.2659872636460379
New York,2024-10-05,221.375,147.0,320.0,45.67447436693336,23.05,3.1,44.1,12.486305541951008,5.070833333333334,2.1,7.0,1.7721220800686017,51.708333333333336,22.0,93.0,24.174149266388326,10.370833333333334,6.7,16.6,2.8621182740223636,15.554166666666667,9.8,24.0,4.1122277012182415,27.917986125,21.64,37.2,4.5656906737916305
New York,2024-10-06,267.7083333333333,203.0,372.0,51.3246098836625,32.4625,15.2,61.3,14.164677822883478,6.758333333333334,4.5,10.8,1.7327827999735164,34.833333333333336,6.0,79.0,25.713584071402835,10.1,7.1,14.9,2.663113574942585,14.766666666666666,10.3,21.5,3.9049207158534527,24.400415416666664,20.074999,31.599998,3.5784343278751276
New York,2024-10-07,204.08333333333334,165.0,261.0,26.274333097343217,16.650000000000002,4.0,34.3,8.299711886041852,4.520833333333333,1.6,7.4,1.5379204385670666,63.916666666666664,41.0,91.0,13.672939528949831,9.549999999999999,5.8,17.3,3.527408212222138,14.9125,9.6,25.0,4.591988533919937,25.848958,18.8,36.399998,5.062567438269826
New York,2024-10-08,220.75,166.0,314.0,39.982876769719915,17.470833333333335,4.0,43.6,10.722243404399492,3.75,2.5,5.2,0.7518094115561124,50.458333333333336,20.0,87.0,22.47506670042173,6.3125,1.9,12.9,3.6807740797401505,9.0625,2.7,18.6,5.2923088164520085,24.244721541666667,19.1,34.8,5.598689979981287
New York,2024-10-09,245.58333333333334,172.0,351.0,51.1391253828958,22.895833333333332,3.8,49.5,12.776795514650315,5.9875,4.4,7.2,0.8331775216655183,46.166666666666664,10.0,89.0,25.249479833930398,9.9375,4.4,14.7,3.0961143249310874,14.775,6.6,21.7,4.494948855926096,21.76534716666667,13.349999,35.6,7.516120320687892
New York,2024-10-10,204.79166666666666,166.0,314.0,36.579846157789376,12.137500000000001,3.8,44.4,10.687246055971086,2.9416666666666664,1.4,7.2,1.6942143662596474,43.416666666666664,24.0,58.0,10.619574488596076,6.0874999999999995,3.1,13.5,3.4957505258714376,8.770833333333334,4.5,19.6,5.090953542413689,19.217430541666666,13.6,23.199999,2.74119681047066
New York,2024-10-11,205.875,179.0,272.0,23.367224351921728,14.841666666666667,6.2,33.6,6.746394635633922,4.195833333333334,2.6,6.9,1.5925039530813447,40.416666666666664,22.0,76.0,17.812835300683474,8.737499999999999,6.5,15.0,1.8329858036879996,12.558333333333332,9.3,21.6,2.6414614970844665,16.765625541666665,11.2,30.4,6.649624446523401
New York,2024-10-12,210.41666666666666,145.0,299.0,41.315242651620935,16.216666666666665,2.9,42.8,11.666662525879184,6.066666666666666,2.1,10.0,2.9654043886805384,58.208333333333336,30.0,87.0,18.089101130519033,7.3374999999999995,2.6,17.9,4.494132648339338,10.558333333333334,3.7,25.8,6.462326722370718,24.526388916666665,18.3,34.8,5.813706694792629
New York,2024-10-13,255.83333333333334,214.0,323.0,31.035276795883448,30.075,13.6,50.9,11.975781720876803,6.520833333333333,4.6,8.2,1.1802649542873167,41.708333333333336,16.0,93.0,27.980550957478627,9.020833333333334,6.3,13.5,1.9386187747009949,13.604166666666666,9.1,20.2,3.2908937819470805,22.584166624999998,13.1,37.2,7.552433941572229
